Type,State,City,Region,LinkText,LinkValue,Description
BailOut,Alabama,Montgomery ,SOUTH,MONTGOMERY BAIL OUT,https://givebutter.com/mgmbailout,
BailOut,Alaska,,WEST ,,,
BailOut,Arizona,Tuscon ,WEST,Tuscon Second Chance Community Bail Fund,https://secure.actblue.com/donate/tsccbf,
BailOut,California,,WEST ,Anti Police-Terror Project,http://www.antipoliceterrorproject.org/donate,
BailOut,California,Compton,WEST,Compton Community Garden,www.comptoncommunitygarden.com,
BailOut,California,,WEST ,Bay Area Anti Repression Committee Bail Fund,https://rally.org/ARCbailfund,
BailOut,California,Los Angeles,WEST ,Peoples City Council Freedom Fund,https://www.gofundme.com/f/peoples-city-council-ticket-fund,
BailOut,California,Los Angeles,WEST ,Adventures to Dreams Enrichment,http://www.adventurestodreams.org/,
BailOut,California,Oakland ,WEST ,Bring Nikko Home organized by Talia Crawford,https://www.gofundme.com/f/9b78y-free-nikko?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet,
BailOut,California,San Diego ,WEST ,DeDe McClure Community Bail Fund,https://www.gofundme.com/f/help-us-raise-funds-to-support-our-community?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,
BailOut,California,San Diego ,WEST ,Border Angels,https://www.borderangels.org/donate.html,
BailOut,California,San Jose,WEST ,Silicon Valley DSA,https://siliconvalleydsa.org/donations/,
BailOut,California,Victorville,WEST,Social Injustice Resources,https://www.gofundme.com/f/high-desert-community-demonstration-organization?utm_source=customer&utm_medium=sms&utm_campaign=p_cp+share-sheet,
BailOut,California,Watts/ Venice ,WEST,Community Healing Gardens,https://www.communityhealinggardens.org/,
BailOut,Colorado,Denver ,WEST ,Colorado Freedom Fund,https://fundly.com/coloradofreedom?form=popup#,
BailOut,Colorado,Denver ,WEST ,Funds for Protesters Against Police Brutality,https://www.gofundme.com/f/funds-for-protesters-against-police-brutality?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet,
BailOut,Connecticut,New Haven ,NORTHEAST,Connecticut Bail Fund,http://www.ctbailfund.org/,
BailOut,Delaware,,NORTHEAST,,,
BailOut,District of Columbia,Washington DC,NORTHEAST,DC Resistance Fund,https://www.gofundme.com/f/dc-resistance-fund?utm_source=twitter&utm_medium=social&utm_campaign=p_cf+share-flow-1,
BailOut,Florida,Ft. Lauderdale,SOUTH,Florida Justice Center,https://www.floridajc.org/donate/,
BailOut,Florida,Ft. Lauderdale,SOUTH,Freedom Fund,https://www.lgbtqfund.org/donate-1,
BailOut,Florida,Ft. Lauderdale,SOUTH,Youth Bail Out,https://www.gofundme.com/f/youth-stop-tmx,
BailOut,Florida,Miami ,SOUTH,(F)empower,https://www.paypal.me/freethemall,
BailOut,Florida,Tallahassee,SOUTH,In Memory of Tony McDade,https://www.gofundme.com/f/in-memory-of-tony-mcdade,
BailOut,Georgia,Atlanta,SOUTH,Atlanta Solidarity Fund,https://www.gofundme.com/f/homeless-black-trans-women-fund?utm_source=twitter&utm_medium=social&utm_campaign=p_cp+share-sheet,
BailOut,Georgia,Atlanta,SOUTH,I Run With Maud,https://www.gofundme.com/f/i-run-with-maud,
BailOut,Georgia,Atlanta,SOUTH,#JusticeForGeorgeFloyd Protesters in Atlanta ,https://actionnetwork.org/fundraising/support-justiceforgeorgefloyd-protesters-in-atlanta,
BailOut,Georgia,Snellville,SOUTH,Diamond in the Rough Youth Development Inc,https://greatnonprofits.org/org/diamond-in-the-rough-youth-development-inc?donate,
BailOut,Hawaii,,WEST ,Hawai'i' Community Bail Fund,https://secure.givelively.org/donate/hawaii-community-bail-fund/hawai-i-community-bail-fund,
BailOut,Idaho,,WEST,,,
BailOut,Illinois,Chicago,MIDWEST ,Chi On the Ground,https://www.paypal.me/OnTheGroundChi,
BailOut,Illinois,Chicago,MIDWEST ,Chicago Community Bond Fund,https://chicagobond.org/donate/,
BailOut,Illinois,Chicago,MIDWEST ,National Lawyers Guild- Chicago,https://nlgchicago.org/donate/,
BailOut,Indiana,,MIDWEST,,,
BailOut,Iowa,,MIDWEST,Eastern Iowa Community Bond Project,https://communitybondproject.networkforgood.com/projects/101939-free-our-protesters,
BailOut,Kansas,Kansas City,MIDWEST,One Struggle KC ,https://actionnetwork.org/fundraising/it-aint-over-legal-fund,
BailOut,Kentucky,Louisville,SOUTH,Justice for Kenneth Walker,https://www.gofundme.com/f/legal-representation-for-kenneth-walker?utm_source=facebook&utm_medium=social&utm_campaign=p_cp%20share-sheet&fbclid=IwAR1WBdnqcVzHr2KKwrYLY8kIwEfihmJuAFz92DEQwmVGOmFHwp1dz2kIEMM,
BailOut,Kentucky,Louisville,SOUTH,Louisville Community Bail Fund,https://actionnetwork.org/fundraising/louisville-community-bail-fund/,
BailOut,Louisiana,New Orleans,SOUTH,New Orleans Safety and Freedom Fund,https://donorbox.org/safety-freedom-fund-eoy,
BailOut,Maine,,NORTHEAST,,,
BailOut,Maryland,Baltimore,NORTHEAST,BALT - Baltimore Action Legal Team,https://baltimoreactionlegal.networkforgood.com/projects/60932-everyday-giving,
BailOut,Massachusetts,,NORTHEAST,The Massachusetts Bail Fund,https://www.massbailfund.org/donate.html,
BailOut,Michigan,Detroit,MIDWEST ,Bail for Detroit Protests,https://www.gofundme.com/f/bail-for-detroit-protests?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cf+share-flow-1,
BailOut,Michigan,Detroit,MIDWEST ,Detroit's Bail Fund,https://www.gofundme.com/f/detroits-bail-fund?utm_medium=sms&utm_source=product&utm_campaign=p_susi-sms-welcome,
BailOut,Michigan,Grand Rapids ,MIDWEST ,Kent County I Bond Fund,https://secure.actblue.com/donate/kentcountyibond,
BailOut,Minnesota,Minneapolis  ,MIDWEST ,Black Visions Donations ,https://secure.everyaction.com/4omQDAR0oUiUagTu0EG-Ig2,
BailOut,Minnesota,Minneapolis  ,MIDWEST ,North Star Health Collective,https://www.northstarhealthcollective.org/,
BailOut,Minnesota,Minneapolis  ,MIDWEST ,Reclaim the Block,https://secure.everyaction.com/zae4prEeKESHBy0MKXTIcQ2,
BailOut,Mississippi,,SOUTH,Mississippi Bail Fund Collective,https://secure.actblue.com/donate/ms-bail-fund,
BailOut,Missouri,Kansas City,MIDWEST ,One Struggle KC,https://actionnetwork.org/fundraising/donate-to-the-one-struggle-kc-legal-fund,
BailOut,Montana,,WEST,,,
BailOut,Nebraska,Omaha,MIDWEST,Nebraska Left Coalition- Neighbors for Common Good,https://www.paypal.me/neleftcoalition,
BailOut,Nevada,Las Vegas,WEST ,  Vegas Freedom Fund,https://secure.actblue.com/donate/vegasfreedomfund,
BailOut,New Hampshire,,NORTHEAST,,,
BailOut,New Jersey,,NORTHEAST,,,
BailOut,New Mexico,,SOUTHWEST,,,
BailOut,New York,Brooklyn,NORTHEAST,Brooklyn Community Bail Fund,https://brooklynbailfund.org/donate,
BailOut,New York,Buffalo ,NORTHEAST,Buffalo Bail Fund,https://www.gofundme.com/f/bail-for-buffalo-protestors?utm_source=customer&utm_medium=copy_link&utm_campaign=m_pd+share-sheet,
BailOut,New York,New York City ,NORTHEAST,Trans Emergency Release Fund,https://emergencyreleasefund.com/,
BailOut,New York,New York City ,NORTHEAST,The Liberty Fund,https://www.libertyfund.nyc/,
BailOut,North Carolina,Durham,SOUTH,NC Community Bail Fund of Durham,https://www.nccbailfund.org/donate,
BailOut,North Carolina,Durham,SOUTH,Freedom Fighter Bond Fund,https://durhamsolidaritycenter.org/bondfund/,
BailOut,North Dakota,,MIDWEST ,,,
BailOut,Ohio,Columbus,MIDWEST ,Columbus Freedom Fund,https://csrntoledo.weebly.com/home.html,
